10347	0	1572960	8	0
20573	0	1448	96	0
20840	0	1704	112	0
31219	0	180008	128	0
41576	0	193344	128	0
52051	0	215288	128	0
53105	0	213368	128	0
63374	0	194280	96	0
71551	0	189128	40	0
71722	0	194576	88	0
81968	0	184336	128	0
92399	0	197648	128	0
92954	0	197112	128	0
103351	0	186496	128	0
113798	0	214648	112	0
114049	0	1944	112	0
124492	0	188912	128	0
134953	0	194024	128	0
145302	0	194072	64	0
155576	0	3144	128	0
155849	0	219680	96	0
159613	0	1064	96	0
160010	0	408	112	0
170353	0	1432	128	0
180668	0	220760	128	0
191135	0	16	128	0
191470	0	16	112	0
201916	0	230816	32	0
202114	0	792	128	0
202526	0	231216	32	0
202727	0	424	112	0
203108	0	179288	80	0
203386	0	179240	48	0
203598	0	222224	128	0
203816	0	192968	64	0
204059	0	230848	96	0
204306	0	181800	128	0
204718	0	222552	128	0
215165	0	184	96	0
218737	0	232864	80	0
229019	0	213496	128	0
239452	0	181048	112	0
249776	0	181032	96	1
249852	0	214984	32	1
249901	0	213576	16	1
260035	0	180240	256	1
260176	0	181544	128	1
260249	0	182288	128	1
260299	0	189264	16	1
260311	0	188248	16	1
260323	0	230720	16	1
260337	0	183096	16	1
270354	0	180904	256	1
270443	0	181928	128	1
270511	0	196008	80	1
270537	0	179752	16	1
270550	0	1320	16	1
270562	0	2008	16	1
280577	0	213416	144	1
280831	0	1144	16	1
280846	0	178344	80	1
280872	0	1096	16	1
280883	0	1496	16	1
280895	0	230752	16	1
280908	0	179880	16	1
280919	0	1416	16	1
280932	0	1040	16	1
290940	0	233200	16	1
290953	0	187016	16	1
290968	0	196216	128	1
290998	0	1224	16	1
291010	0	192744	32	1
291051	0	187176	16	1
291063	0	16	16	1
291074	0	193848	16	1
291085	0	233008	32	1
291100	0	195152	16	1
291111	0	219680	16	1
291122	0	488	16	1
301134	0	186536	32	1
301151	0	230896	48	1
301196	0	187912	32	1
311210	0	230816	32	1
311228	0	181800	128	1
311258	0	520	16	1
311280	0	424	16	1
311291	0	222616	16	1
311302	0	186632	32	1
311317	0	248	16	1
